order_id,customer_id,restaurant_name,cuisine_type,cost,day_of_the_week,rating,food_preparation_time (Min),delivery_time (Min)
d81a8721-5582-11ef-9c26-84a93eaf263c,d81a88a8-5582-11ef-9c26-84a93eaf263c,Burger Barn,American,25.29,Weekday,3,47,38
d81c2048-5582-11ef-9c26-84a93eaf263c,d81c2074-5582-11ef-9c26-84a93eaf263c,Burger Barn,Chinese,66.32,Weekday,2,50,11
d81c6453-5582-11ef-9c26-84a93eaf263c,d81c6488-5582-11ef-9c26-84a93eaf263c,Burger Barn,Italian,77.69,Weekend,4,20,18
d81ca0a7-5582-11ef-9c26-84a93eaf263c,d81ca0d1-5582-11ef-9c26-84a93eaf263c,Burger Barn,Indian,95.43,Weekday,3,32,33
d81cded0-5582-11ef-9c26-84a93eaf263c,d81cdf16-5582-11ef-9c26-84a93eaf263c,Pizza Place,Mexican,34.65,Weekday,5,58,16
d81d3c23-5582-11ef-9c26-84a93eaf263c,d81d3ceb-5582-11ef-9c26-84a93eaf263c,Burger Barn,Indian,16.37,Weekday,3,59,27
d81d8107-5582-11ef-9c26-84a93eaf263c,d81d8149-5582-11ef-9c26-84a93eaf263c,Curry House,Chinese,72.93,Weekend,2,28,33
d81dc32c-5582-11ef-9c26-84a93eaf263c,d81dc363-5582-11ef-9c26-84a93eaf263c,Curry House,Indian,76.81,Weekday,4,24,10
d81e01ef-5582-11ef-9c26-84a93eaf263c,d81e0234-5582-11ef-9c26-84a93eaf263c,Curry House,Chinese,50.28,Weekday,1,25,40
d81e465d-5582-11ef-9c26-84a93eaf263c,d81e46a4-5582-11ef-9c26-84a93eaf263c,Taco Joint,Mexican,49.16,Weekday,2,26,18
d81e87d5-5582-11ef-9c26-84a93eaf263c,d81e8819-5582-11ef-9c26-84a93eaf263c,Curry House,American,20.01,Weekend,2,58,17
d81ec88d-5582-11ef-9c26-84a93eaf263c,d81ec8d8-5582-11ef-9c26-84a93eaf263c,Pizza Place,American,85.55,Weekend,1,48,15
d81f0763-5582-11ef-9c26-84a93eaf263c,d81f07a4-5582-11ef-9c26-84a93eaf263c,Curry House,Italian,78.77,Weekend,1,21,31
d81f4017-5582-11ef-9c26-84a93eaf263c,d81f405b-5582-11ef-9c26-84a93eaf263c,Taco Joint,Mexican,35.21,Weekday,5,36,32
d81f98ed-5582-11ef-9c26-84a93eaf263c,d81f9935-5582-11ef-9c26-84a93eaf263c,Taco Joint,American,92.16,Weekday,4,17,18
d81fdb42-5582-11ef-9c26-84a93eaf263c,d81fdb9e-5582-11ef-9c26-84a93eaf263c,Pizza Place,American,25.29,Weekday,1,48,32
d8201eb4-5582-11ef-9c26-84a93eaf263c,d8201f2e-5582-11ef-9c26-84a93eaf263c,Pizza Place,Italian,89.35,Weekend,3,19,41
d8207867-5582-11ef-9c26-84a93eaf263c,d82078b5-5582-11ef-9c26-84a93eaf263c,Sushi Spot,Indian,44.71,Weekend,2,42,44
d820b885-5582-11ef-9c26-84a93eaf263c,d820b8c8-5582-11ef-9c26-84a93eaf263c,Pizza Place,Mexican,13.23,Weekday,3,25,30
d8210df7-5582-11ef-9c26-84a93eaf263c,d8210e65-5582-11ef-9c26-84a93eaf263c,Sushi Spot,Mexican,55.1,Weekday,5,56,10
d8215144-5582-11ef-9c26-84a93eaf263c,d8215184-5582-11ef-9c26-84a93eaf263c,Sushi Spot,Chinese,64.61,Weekday,2,33,23
d8218be3-5582-11ef-9c26-84a93eaf263c,d8218c24-5582-11ef-9c26-84a93eaf263c,Taco Joint,Mexican,19.97,Weekday,1,23,28
d821d2cc-5582-11ef-9c26-84a93eaf263c,d821d30e-5582-11ef-9c26-84a93eaf263c,Pizza Place,American,23.42,Weekday,5,42,13
d8221a72-5582-11ef-9c26-84a93eaf263c,d8221abd-5582-11ef-9c26-84a93eaf263c,Taco Joint,Italian,65.69,Weekend,3,53,26
d8225e9e-5582-11ef-9c26-84a93eaf263c,d8225edd-5582-11ef-9c26-84a93eaf263c,Burger Barn,American,86.64,Weekend,2,22,32
d822aa61-5582-11ef-9c26-84a93eaf263c,d822aaa7-5582-11ef-9c26-84a93eaf263c,Taco Joint,American,51.96,Weekday,4,43,37
d822edc6-5582-11ef-9c26-84a93eaf263c,d822ee1f-5582-11ef-9c26-84a93eaf263c,Pizza Place,American,11.84,Weekend,1,34,44
d8233059-5582-11ef-9c26-84a93eaf263c,d823309e-5582-11ef-9c26-84a93eaf263c,Taco Joint,Chinese,22.75,Weekday,5,45,23
d823bf45-5582-11ef-9c26-84a93eaf263c,d823bf87-5582-11ef-9c26-84a93eaf263c,Burger Barn,Mexican,72.21,Weekday,2,39,40
d823ff27-5582-11ef-9c26-84a93eaf263c,d823ff85-5582-11ef-9c26-84a93eaf263c,Taco Joint,Chinese,14.18,Weekday,5,59,25
d8244351-5582-11ef-9c26-84a93eaf263c,d8244397-5582-11ef-9c26-84a93eaf263c,Sushi Spot,Mexican,25.57,Weekend,2,18,22
d8248353-5582-11ef-9c26-84a93eaf263c,d8248393-5582-11ef-9c26-84a93eaf263c,Curry House,Chinese,24.32,Weekend,4,31,27
